#Wave,F444W
#micron,el/phot
2.510588013000000007e+00,3.081967015352867325e-04
2.511939244000000127e+00,2.966281596684076254e-04
2.513290476000000329e+00,2.845449276646724738e-04
2.514641707000000004e+00,2.725888878293161277e-04
2.515992939000000206e+00,2.610950752283978720e-04
2.517344169999999881e+00,2.497211620124780351e-04
2.518695401999999639e+00,2.377581059282032438e-04
2.520046632999999758e+00,2.253679922567929247e-04
2.521397864999999960e+00,2.139273703664259368e-04
2.522749096000000080e+00,2.023865590089423089e-04
2.524100327000000199e+00,1.908232794996892205e-04
2.525451558999999957e+00,1.794219096729565656e-04
2.526802790000000076e+00,1.676511799256745635e-04
2.528154022000000278e+00,1.562380356682005207e-04
2.529505252999999954e+00,1.456893400243963689e-04
2.530856484999999712e+00,1.356662198053749902e-04
2.532207715999999831e+00,1.256635663271827197e-04
2.533558948000000033e+00,1.159923680023731323e-04
2.534910179000000152e+00,1.066683598184085238e-04
2.536261410000000271e+00,9.780424766422883402e-05
2.537612642000000029e+00,8.958909665467209855e-05
2.538963873000000149e+00,8.167258288489913376e-05
2.540315105000000351e+00,7.398465645546077921e-05
2.541666335999999582e+00,6.718066113297271272e-05
2.543017568000000228e+00,6.058727656832918647e-05
2.544368798999999903e+00,5.437106764083508360e-05
2.545720030000000023e+00,4.864772151666649870e-05
2.547071261999999781e+00,4.367366193657572232e-05
2.548422492999999900e+00,3.911965549001262686e-05
2.549773725000000102e+00,3.509489299961825501e-05
2.551124956000000221e+00,3.098154976806374926e-05
2.552476187999999979e+00,2.697664711907495026e-05
2.553827419000000098e+00,2.401789177593640463e-05
2.555178651000000301e+00,2.135630822927182143e-05
2.556529881999999976e+00,1.945495646361958619e-05
2.557881113000000095e+00,1.659325567534266491e-05
2.559232344999999853e+00,1.422132067722786970e-05
2.560583575999999972e+00,1.249814927616455929e-05
2.561934808000000174e+00,1.145356956725030771e-05
2.563286039000000294e+00,1.010709898100165318e-05
2.564637271000000052e+00,8.743250070514555720e-06
2.565988502000000171e+00,7.574575195111101277e-06
2.567339732999999846e+00,6.360450531599300098e-06
2.568690964999999604e+00,6.024770330736721360e-06
2.570042195999999723e+00,5.615601215264802754e-06
2.571393427999999926e+00,4.845382412067725746e-06
2.572744659000000045e+00,4.360642429819478839e-06
2.574095890999999803e+00,4.088566003860399699e-06
2.575447121999999922e+00,3.806752786071304252e-06
2.576798354000000124e+00,3.441340212650312250e-06
